variant_id,distance,ego_speed,obs_speed,cut_in_side,collision_found
184,15,30,10,left,FALSE
185,15,30,10,right,FALSE
186,15,30,15,left,FALSE
187,15,30,15,right,FALSE
188,15,30,20,left,FALSE
189,15,30,20,right,FALSE
190,15,30,25,left,FALSE
191,15,30,25,right,FALSE
192,20,15,10,left,FALSE
193,20,15,10,right,FALSE
194,20,15,15,left,FALSE
195,20,15,15,right,FALSE
196,20,15,20,left,FALSE
197,20,15,20,right,FALSE
198,20,15,25,left,FALSE
199,20,15,25,right,FALSE
200,20,20,10,left,FALSE
201,20,20,10,right,FALSE
202,20,20,15,left,FALSE
203,20,20,15,right,FALSE
204,20,20,20,left,FALSE
205,20,20,20,right,FALSE
206,20,20,25,left,FALSE
207,20,20,25,right,FALSE
208,20,25,10,left,FALSE
209,20,25,10,right,FALSE
210,20,25,15,left,FALSE
211,20,25,15,right,FALSE
212,20,25,20,left,FALSE
213,20,25,20,right,FALSE
214,20,25,25,left,FALSE
215,20,25,25,right,FALSE
216,20,30,10,left,FALSE
217,20,30,10,right,FALSE
218,20,30,15,left,FALSE
219,20,30,15,right,FALSE
220,20,30,20,left,FALSE
221,20,30,20,right,FALSE
222,20,30,25,left,FALSE
223,20,30,25,right,FALSE
224,30,15,10,left,FALSE
225,30,15,10,right,FALSE
226,30,15,15,left,FALSE
227,30,15,15,right,FALSE
228,30,15,20,left,FALSE
229,30,15,20,right,FALSE
230,30,15,25,left,FALSE
231,30,15,25,right,FALSE
232,30,20,10,left,FALSE
233,30,20,10,right,FALSE
234,30,20,15,left,FALSE
235,30,20,15,right,FALSE
236,30,20,20,left,FALSE
237,30,20,20,right,FALSE
238,30,20,25,left,FALSE
239,30,20,25,right,FALSE
240,30,25,10,left,FALSE
241,30,25,10,right,FALSE
242,30,25,15,left,FALSE
243,30,25,15,right,FALSE
244,30,25,20,left,FALSE
245,30,25,20,right,FALSE
246,30,25,25,left,FALSE
247,30,25,25,right,FALSE
248,30,30,10,left,FALSE
249,30,30,10,right,FALSE
250,30,30,15,left,FALSE
251,30,30,15,right,FALSE
252,30,30,20,left,FALSE
253,30,30,20,right,FALSE
254,30,30,25,left,FALSE
255,30,30,25,right,FALSE
